DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Periods,Unit_Periods,Weight,Unit_Weight,Site_Number
10.34355/Fukushima.Pref.CEC.00014,18,2016,1,21,12,0,JST,2016.054795,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,391 ,18 ,Bq kg-1,134Cs,=,85 ,9 ,Bq kg-1,river,Kuchibuto,W8202010130,28,Day,33.54 ,g,2
10.34355/Fukushima.Pref.CEC.00014,19,2016,2,17,12,0,JST,2016.127169,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,708 ,24 ,Bq kg-1,134Cs,=,190 ,13 ,Bq kg-1,river,Kuchibuto,W8202010130,27,Day,37.89 ,g,2
10.34355/Fukushima.Pref.CEC.00014,20,2016,4,15,12,0,JST,2016.288356,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,983 ,31 ,Bq kg-1,134Cs,=,173 ,14 ,Bq kg-1,river,Kuchibuto,W8202010130,58,Day,61.07 ,g,2
10.34355/Fukushima.Pref.CEC.00014,21,2016,9,27,12,0,JST,2016.7379,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,727 ,24 ,Bq kg-1,134Cs,=,117 ,10 ,Bq kg-1,river,Kuchibuto,W8202010130,165,Day,103.80 ,g,2
10.34355/Fukushima.Pref.CEC.00014,22,2016,12,21,12,0,JST,2016.971461,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,717 ,25 ,Bq kg-1,134Cs,=,117 ,11 ,Bq kg-1,river,Kuchibuto,W8202010130,85,Day,63.87 ,g,2
10.34355/Fukushima.Pref.CEC.00014,23,2017,3,1,12,0,JST,2017.166667,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,649 ,34 ,Bq kg-1,134Cs,=,142 ,19 ,Bq kg-1,river,Kuchibuto,W8202010130,70,Day,9.75 ,g,2
10.34355/Fukushima.Pref.CEC.00014,24,2015,4,23,12,0,JST,2015.310274,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"2,652 ",44 ,Bq kg-1,134Cs,=,760 ,24 ,Bq kg-1,river,Kuchibuto,W8202010130,99,Day,60.92 ,g,3
10.34355/Fukushima.Pref.CEC.00014,25,2015,5,29,12,0,JST,2015.410046,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"1,941 ",38 ,Bq kg-1,134Cs,=,499 ,19 ,Bq kg-1,river,Kuchibuto,W8202010130,36,Day,71.70 ,g,3
10.34355/Fukushima.Pref.CEC.00014,26,2015,7,21,12,0,JST,2015.554795,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"2,462 ",33 ,Bq kg-1,134Cs,=,648 ,17 ,Bq kg-1,river,Kuchibuto,W8202010130,53,Day,70.54 ,g,3
10.34355/Fukushima.Pref.CEC.00014,27,2015,9,3,12,0,JST,2015.672146,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"2,346 ",42 ,Bq kg-1,134Cs,=,588 ,20 ,Bq kg-1,river,Kuchibuto,W8202010130,44,Day,68.36 ,g,3
10.34355/Fukushima.Pref.CEC.00014,28,2015,12,24,12,0,JST,2015.97968,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,740 ,20 ,Bq kg-1,134Cs,=,172 ,9 ,Bq kg-1,river,Kuchibuto,W8202010130,49,Day,101.37 ,g,3
10.34355/Fukushima.Pref.CEC.00014,29,2016,1,21,12,0,JST,2016.054795,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"1,191 ",45 ,Bq kg-1,134Cs,=,291 ,24 ,Bq kg-1,river,Kuchibuto,W8202010130,28,Day,15.53 ,g,3
10.34355/Fukushima.Pref.CEC.00014,30,2016,2,17,12,0,JST,2016.127169,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,887 ,25 ,Bq kg-1,134Cs,=,175 ,11 ,Bq kg-1,river,Kuchibuto,W8202010130,27,Day,59.89 ,g,3
10.34355/Fukushima.Pref.CEC.00014,31,2016,4,15,12,0,JST,2016.288356,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,715 ,25 ,Bq kg-1,134Cs,=,138 ,12 ,Bq kg-1,river,Kuchibuto,W8202010130,58,Day,78.36 ,g,3
10.34355/Fukushima.Pref.CEC.00014,32,2016,9,27,12,0,JST,2016.7379,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,796 ,27 ,Bq kg-1,134Cs,=,142 ,12 ,Bq kg-1,river,Kuchibuto,W8202010130,165,Day,91.34 ,g,3
10.34355/Fukushima.Pref.CEC.00014,33,2016,12,21,12,0,JST,2016.971461,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,"1,193 ",35 ,Bq kg-1,134Cs,=,204 ,15 ,Bq kg-1,river,Kuchibuto,W8202010130,85,Day,74.21 ,g,3
10.34355/Fukushima.Pref.CEC.00014,34,2017,3,1,12,0,JST,2017.166667,N,1,37,31,55,37.53194444,E,1,140,36,50,140.6138889,1,382.6,m,Suspended Matter,137Cs,=,737 ,25 ,Bq kg-1,134Cs,=,121 ,11 ,Bq kg-1,river,Kuchibuto,W8202010130,70,Day,15.66 ,g,3
10.34355/Fukushima.Pref.CEC.00014,35,2015,4,23,12,0,JST,2015.310274,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"2,995 ",65 ,Bq kg-1,134Cs,=,792 ,35 ,Bq kg-1,river,Kuchibuto,W8202010130,99,Day,17.94 ,g,4
10.34355/Fukushima.Pref.CEC.00014,36,2015,5,29,12,0,JST,2015.410046,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"2,475 ",69 ,Bq kg-1,134Cs,=,672 ,37 ,Bq kg-1,river,Kuchibuto,W8202010130,36,Day,14.36 ,g,4
10.34355/Fukushima.Pref.CEC.00014,37,2015,7,21,12,0,JST,2015.554795,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"2,787 ",50 ,Bq kg-1,134Cs,=,739 ,26 ,Bq kg-1,river,Kuchibuto,W8202010130,53,Day,21.23 ,g,4
10.34355/Fukushima.Pref.CEC.00014,38,2015,9,3,12,0,JST,2015.672146,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"2,766 ",46 ,Bq kg-1,134Cs,=,705 ,24 ,Bq kg-1,river,Kuchibuto,W8202010130,44,Day,27.47 ,g,4
10.34355/Fukushima.Pref.CEC.00014,39,2015,12,24,12,0,JST,2015.97968,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,231 ",103 ,Bq kg-1,134Cs,=,283 ,69 ,Bq kg-1,river,Kuchibuto,W8202010130,76,Day,0.91 ,g,4
10.34355/Fukushima.Pref.CEC.00014,40,2016,1,21,12,0,JST,2016.054795,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,187 ",43 ,Bq kg-1,134Cs,=,283 ,24 ,Bq kg-1,river,Kuchibuto,W8202010130,28,Day,9.64 ,g,4
10.34355/Fukushima.Pref.CEC.00014,41,2016,2,17,12,0,JST,2016.127169,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,762 ",61 ,Bq kg-1,134Cs,=,355 ,31 ,Bq kg-1,river,Kuchibuto,W8202010130,27,Day,6.18 ,g,4
10.34355/Fukushima.Pref.CEC.00014,42,2016,4,15,12,0,JST,2016.288356,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,632 ",90 ,Bq kg-1,134Cs,=,294 ,44 ,Bq kg-1,river,Kuchibuto,W8202010130,58,Day,6.20 ,g,4
10.34355/Fukushima.Pref.CEC.00014,43,2016,10,24,12,0,JST,2016.813014,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,982 ",55 ,Bq kg-1,134Cs,=,344 ,24 ,Bq kg-1,river,Kuchibuto,W8202010130,192,Day,37.79 ,g,4
10.34355/Fukushima.Pref.CEC.00014,44,2016,12,21,12,0,JST,2016.971461,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,"1,475 ",64 ,Bq kg-1,134Cs,=,238 ,28 ,Bq kg-1,river,Kuchibuto,W8202010130,58,Day,14.14 ,g,4
10.34355/Fukushima.Pref.CEC.00014,45,2017,3,1,12,0,JST,2017.166667,N,1,37,34,52,37.58111111,E,1,140,32,31,140.5419444,1,220.3,m,Suspended Matter,137Cs,=,916 ,32 ,Bq kg-1,134Cs,=,146 ,14 ,Bq kg-1,river,Kuchibuto,W8202010130,70,Day,27.02 ,g,4
10.34355/Fukushima.Pref.CEC.00014,46,2015,5,27,12,0,JST,2015.404566,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,"2,345 ",85 ,Bq kg-1,134Cs,=,655 ,47 ,Bq kg-1,river,Abukuma,W8202010001,135,Day,7.65 ,g,5
10.34355/Fukushima.Pref.CEC.00014,47,2015,7,15,12,0,JST,2015.538356,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,"3,817 ",129 ,Bq kg-1,134Cs,=,932 ,73 ,Bq kg-1,river,Abukuma,W8202010001,49,Day,1.67 ,g,5
10.34355/Fukushima.Pref.CEC.00014,48,2015,8,24,12,0,JST,2015.646347,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,"2,048 ",39 ,Bq kg-1,134Cs,=,523 ,19 ,Bq kg-1,river,Abukuma,W8202010001,40,Day,68.68 ,g,5
10.34355/Fukushima.Pref.CEC.00014,49,2015,10,8,12,0,JST,2015.769178,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,975 ,20 ,Bq kg-1,134Cs,=,240 ,10 ,Bq kg-1,river,Abukuma,W8202010001,45,Day,79.88 ,g,5
10.34355/Fukushima.Pref.CEC.00014,50,2016,1,26,12,0,JST,2016.068493,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,"1,319 ",75 ,Bq kg-1,134Cs,=,298 ,49 ,Bq kg-1,river,Abukuma,W8202010001,110,Day,0.98 ,g,5
10.34355/Fukushima.Pref.CEC.00014,51,2016,2,16,12,0,JST,2016.124429,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,432 ,34 ,Bq kg-1,134Cs,=,90 ,22 ,Bq kg-1,river,Abukuma,W8202010001,21,Day,1.69 ,g,5
10.34355/Fukushima.Pref.CEC.00014,52,2016,4,13,12,0,JST,2016.282877,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,761 ,22 ,Bq kg-1,134Cs,=,186 ,16 ,Bq kg-1,river,Abukuma,W8202010001,57,Day,1.04 ,g,5
