DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Correction_Periods,Unit_Periods,Weight,Unit_Weight,SSA,Unit_SSA,Median_D50,Unit_Median,Site_Number
10.34355/CRiED.U.Tsukuba.00020,16,2012,2,11,12,0,JST,2012.110731,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"25,332 ",702 ,Bq kg-1,134Cs,=,"16,937 ",572 ,Bq kg-1,river,Mizusakai,-,14,Day,0.340 ,g,0.2316 ,m2 g-1,29.6 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,17,2012,2,21,12,0,JST,2012.138128,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"25,488 ","1,159 ",Bq kg-1,134Cs,=,"16,096 ",968 ,Bq kg-1,river,Mizusakai,-,10,Day,0.230 ,g,0.1963 ,m2 g-1,31.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,18,2012,2,25,12,0,JST,2012.149087,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"25,433 ",229 ,Bq kg-1,134Cs,=,"17,603 ",191 ,Bq kg-1,river,Mizusakai,-,4,Day,0.450 ,g,0.2826 ,m2 g-1,22.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,19,2012,3,9,12,0,JST,2012.188584,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"19,954 ",233 ,Bq kg-1,134Cs,=,"13,733 ",188 ,Bq kg-1,river,Mizusakai,-,13,Day,1.702 ,g,0.2127 ,m2 g-1,24.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,20,2012,3,20,12,0,JST,2012.218721,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"15,173 ",594 ,Bq kg-1,134Cs,=,"9,910 ",486 ,Bq kg-1,river,Mizusakai,-,11,Day,0.669 ,g,0.2468 ,m2 g-1,26.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,21,2012,3,29,12,0,JST,2012.243379,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"13,150 ",617 ,Bq kg-1,134Cs,=,"8,819 ",489 ,Bq kg-1,river,Mizusakai,-,9,Day,3.019 ,g,0.2488 ,m2 g-1,29.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,22,2012,4,17,12,0,JST,2012.293836,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"17,340 ",148 ,Bq kg-1,134Cs,=,"11,691 ",113 ,Bq kg-1,river,Mizusakai,-,19,Day,2.974 ,g,0.2260 ,m2 g-1,30.3 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,23,2012,4,25,12,0,JST,2012.315753,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"16,308 ",431 ,Bq kg-1,134Cs,=,"11,757 ",377 ,Bq kg-1,river,Mizusakai,-,8,Day,0.082 ,g,0.1865 ,m2 g-1,39.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,24,2012,5,15,12,0,JST,2012.371689,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"7,994 ",187 ,Bq kg-1,134Cs,=,"5,046 ",141 ,Bq kg-1,river,Mizusakai,-,20,Day,4.430 ,g,0.2227 ,m2 g-1,36.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,25,2012,5,30,12,0,JST,2012.412785,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"17,255 ",653 ,Bq kg-1,134Cs,=,"11,660 ",416 ,Bq kg-1,river,Mizusakai,-,15,Day,2.976 ,g,0.2342 ,m2 g-1,30.7 ,É m,1
